POST_ID,POST_TOPIC_TAGS,POST_CROP_TAGS,POST_TYPE
c98a68d2-1850-4f7a-b5ea-0c65b8b05a07,"[
  [
    ""Agriculture News"",
    ""Government Schemes""
  ]
]",[],content
112728bc-a393-4181-83ff-8e95e6d0970a,"[
  [
    ""New Farming Techniques""
  ]
]",[],infographic
fcf9f53c-48b8-44c8-83a5-7b38eece2348,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Mustard""
  ]
]",content
fd356b30-8021-4714-9bb8-17b1a1a6470c,"[
  [
    ""Success Story""
  ]
]",[],content
8ac9b49c-7dac-49dd-8632-f3e151b26299,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Gram""
  ]
]",content
a79c698c-f139-4084-8670-9ff855820697,"[
  [
    ""Fertilizer""
  ]
]","[
  [
    ""paddy (rice)""
  ]
]",infographic
c433fef7-ff7c-447c-9933-d1ca115bb925,"[
  [
    ""Agriculture News""
  ]
]",[],content
75c68f05-e737-4e42-99c2-61dc8b2a614d,"[
  [
    ""Success Story""
  ]
]",[],content
70bb853b-5377-48cd-a80e-830831e3a862,"[
  [
    ""Agriculture News""
  ]
]",[],content
9bc68627-d410-494a-ac88-fa166cef1609,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Garlic""
  ]
]",content
4d8b2241-c3af-448c-8b32-574363217045,"[
  [
    ""Success Story""
  ]
]",[],content
cd6c7840-7008-4ac7-b0ba-30aa74f8f86b,"[
  [
    ""Agriculture News""
  ]
]",[],content
b339c3ee-9f13-407b-a756-f2cd98c2d18f,"[
  [
    ""fish farming""
  ]
]",[],content
3e22d1c5-8384-405c-b956-e452e895eda2,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Lemon""
  ]
]",content
9aa81f15-931c-4116-a962-96ddf5485a72,"[
  [
    ""irrigation""
  ]
]","[
  [
    ""bottle gourd""
  ]
]",content
bce02e9d-bef4-401e-bd3b-3ad8af745127,[],"[
  [
    ""Mustard""
  ]
]",content
be3224d4-f267-457c-bd03-d7170c9f9e45,"[
  [
    ""Agriculture News""
  ]
]",[],content
b1058447-eb8a-4e66-a7a3-f978f938d6ad,"[
  [
    ""Success Story""
  ]
]",[],content
2a166d18-cd5e-4182-8f3f-79c25357926e,"[
  [
    ""quiz""
  ]
]",[],infographic
9332481a-6296-4d9d-a041-c5305846a077,"[
  [
    ""Agriculture News""
  ]
]",[],content
3832d0a8-e164-4645-b777-08492034d787,"[
  [
    ""Agriculture News""
  ]
]",[],content
816411e8-a7dd-4e76-bfb6-cce207d365f8,"[
  [
    ""weed management""
  ]
]","[
  [
    ""Wheat""
  ]
]",content
392d8aa2-5824-4af9-8bba-4e28f972dacc,"[
  [
    ""Success Story""
  ]
]",[],content
c7ca509f-ba72-46e0-b978-051d3d10f7a1,"[
  [
    ""quiz""
  ]
]",[],infographic
